Locations of bus and train stops of station-visits,time of day of station-visits,action at this station,number of station-visits per day
Aft Jurong Town Hall Rd,15:30,alighting,3.225806451612903
Aft Jurong Town Hall Rd,15:30,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,16:00,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,16:30,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,16:30,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,17:00,boarding,6.451612903225806
Aft Jurong Town Hall Rd,17:30,alighting,4.838709677419355
Aft Jurong Town Hall Rd,17:30,boarding,3.225806451612903
Aft Jurong Town Hall Rd,18:00,alighting,3.225806451612903
Aft Jurong Town Hall Rd,18:00,boarding,8.064516129032258
Aft Jurong Town Hall Rd,18:30,alighting,8.064516129032258
Aft Jurong Town Hall Rd,18:30,boarding,3.225806451612903
Aft Jurong Town Hall Rd,19:00,alighting,3.225806451612903
Aft Jurong Town Hall Rd,19:00,boarding,3.225806451612903
Aft Jurong Town Hall Rd,19:30,alighting,4.838709677419355
Aft Jurong Town Hall Rd,19:30,boarding,3.225806451612903
Aft Jurong Town Hall Rd,20:00,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,20:30,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,20:30,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,21:00,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,21:00,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,22:00,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,22:30,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,23:00,alighting,4.838709677419355
Aft Pandan Gdns,00:30,alighting,3.225806451612903
Aft Pandan Gdns,05:30,boarding,11.290322580645162
Aft Pandan Gdns,06:00,boarding,20.967741935483872
Aft Pandan Gdns,06:00,interchanging,3.225806451612903
Aft Pandan Gdns,06:30,alighting,3.225806451612903
Aft Pandan Gdns,06:30,boarding,25.806451612903224
Aft Pandan Gdns,06:30,interchanging,1.6129032258064515
Aft Pandan Gdns,07:00,alighting,3.225806451612903
Aft Pandan Gdns,07:00,boarding,25.806451612903224
Aft Pandan Gdns,07:00,interchanging,3.225806451612903
Aft Pandan Gdns,07:30,alighting,4.838709677419355
Aft Pandan Gdns,07:30,boarding,16.129032258064516
Aft Pandan Gdns,08:00,alighting,3.225806451612903
Aft Pandan Gdns,08:00,boarding,24.193548387096776
Aft Pandan Gdns,08:00,interchanging,1.6129032258064515
Aft Pandan Gdns,08:30,alighting,3.225806451612903
Aft Pandan Gdns,08:30,boarding,16.129032258064516
Aft Pandan Gdns,09:00,boarding,9.67741935483871
Aft Pandan Gdns,09:30,boarding,3.225806451612903
Aft Pandan Gdns,10:00,boarding,12.903225806451612
Aft Pandan Gdns,10:30,alighting,3.225806451612903
Aft Pandan Gdns,10:30,boarding,8.064516129032258
Aft Pandan Gdns,11:00,alighting,19.35483870967742
Aft Pandan Gdns,11:00,boarding,17.741935483870968
Aft Pandan Gdns,11:00,interchanging,1.6129032258064515
Aft Pandan Gdns,11:30,boarding,19.35483870967742
Aft Pandan Gdns,12:00,alighting,1.6129032258064515
Aft Pandan Gdns,12:00,boarding,19.35483870967742
Aft Pandan Gdns,12:30,alighting,4.838709677419355
Aft Pandan Gdns,12:30,boarding,40.32258064516129
Aft Pandan Gdns,12:30,interchanging,1.6129032258064515
Aft Pandan Gdns,13:00,alighting,3.225806451612903
Aft Pandan Gdns,13:00,boarding,16.129032258064516
Aft Pandan Gdns,13:00,interchanging,1.6129032258064515
Aft Pandan Gdns,13:30,alighting,1.6129032258064515
Aft Pandan Gdns,13:30,boarding,40.32258064516129
Aft Pandan Gdns,13:30,interchanging,1.6129032258064515
Aft Pandan Gdns,14:00,alighting,8.064516129032258
Aft Pandan Gdns,14:00,boarding,9.67741935483871
Aft Pandan Gdns,14:00,interchanging,3.225806451612903
Aft Pandan Gdns,14:30,boarding,45.16129032258065
Aft Pandan Gdns,15:00,alighting,1.6129032258064515
Aft Pandan Gdns,15:00,boarding,22.580645161290324
Aft Pandan Gdns,15:30,alighting,6.451612903225806
Aft Pandan Gdns,15:30,boarding,20.967741935483872
Aft Pandan Gdns,16:00,alighting,8.064516129032258
Aft Pandan Gdns,16:00,boarding,22.580645161290324
Aft Pandan Gdns,16:30,alighting,1.6129032258064515
Aft Pandan Gdns,16:30,boarding,29.032258064516128
Aft Pandan Gdns,16:30,interchanging,1.6129032258064515
Aft Pandan Gdns,17:00,alighting,3.225806451612903
Aft Pandan Gdns,17:00,boarding,30.64516129032258
Aft Pandan Gdns,17:30,alighting,4.838709677419355
Aft Pandan Gdns,17:30,boarding,66.12903225806451
Aft Pandan Gdns,17:30,interchanging,1.6129032258064515
Aft Pandan Gdns,18:00,alighting,6.451612903225806
Aft Pandan Gdns,18:00,boarding,56.45161290322581
Aft Pandan Gdns,18:00,interchanging,1.6129032258064515
Aft Pandan Gdns,18:30,alighting,6.451612903225806
Aft Pandan Gdns,18:30,boarding,20.967741935483872
Aft Pandan Gdns,19:00,alighting,6.451612903225806
Aft Pandan Gdns,19:00,boarding,16.129032258064516
Aft Pandan Gdns,19:30,alighting,6.451612903225806
Aft Pandan Gdns,19:30,boarding,17.741935483870968
Aft Pandan Gdns,20:00,alighting,6.451612903225806
Aft Pandan Gdns,20:00,boarding,22.580645161290324
Aft Pandan Gdns,20:30,alighting,4.838709677419355
Aft Pandan Gdns,20:30,boarding,11.290322580645162
Aft Pandan Gdns,21:00,alighting,6.451612903225806
Aft Pandan Gdns,21:00,boarding,16.129032258064516
Aft Pandan Gdns,21:30,boarding,9.67741935483871
Aft Pandan Gdns,22:00,alighting,1.6129032258064515
Aft Pandan Gdns,22:00,boarding,4.838709677419355
Aft Pandan Gdns,22:00,interchanging,1.6129032258064515
Aft Pandan Gdns,22:30,boarding,6.451612903225806
Aft Pandan Gdns,22:30,interchanging,1.6129032258064515
Aft Pandan Gdns,23:00,boarding,1.6129032258064515
Aft Pandan Gdns,23:00,interchanging,1.6129032258064515
Aft Pandan Gdns,23:30,alighting,1.6129032258064515
Aft S'pore Science Ctr,00:00,alighting,1.6129032258064515
Aft S'pore Science Ctr,06:00,alighting,4.838709677419355
Aft S'pore Science Ctr,06:30,boarding,4.838709677419355
Aft S'pore Science Ctr,07:00,boarding,1.6129032258064515
Aft S'pore Science Ctr,07:30,boarding,4.838709677419355
Aft S'pore Science Ctr,08:00,alighting,3.225806451612903
Aft S'pore Science Ctr,09:00,boarding,1.6129032258064515
Aft S'pore Science Ctr,09:30,alighting,4.838709677419355
Aft S'pore Science Ctr,09:30,boarding,1.6129032258064515
Aft S'pore Science Ctr,10:30,alighting,1.6129032258064515
Aft S'pore Science Ctr,10:30,boarding,4.838709677419355
Aft S'pore Science Ctr,10:30,interchanging,1.6129032258064515
Aft S'pore Science Ctr,11:00,alighting,1.6129032258064515
Aft S'pore Science Ctr,11:00,interchanging,1.6129032258064515
Aft S'pore Science Ctr,11:30,alighting,6.451612903225806
Aft S'pore Science Ctr,12:00,boarding,1.6129032258064515
Aft S'pore Science Ctr,13:00,alighting,1.6129032258064515
Aft S'pore Science Ctr,13:00,boarding,1.6129032258064515
Aft S'pore Science Ctr,13:30,boarding,1.6129032258064515
Aft S'pore Science Ctr,14:00,alighting,3.225806451612903
Aft S'pore Science Ctr,14:00,boarding,4.838709677419355
Aft S'pore Science Ctr,14:30,alighting,9.67741935483871
Aft S'pore Science Ctr,14:30,boarding,1.6129032258064515
Aft S'pore Science Ctr,14:30,interchanging,1.6129032258064515
Aft S'pore Science Ctr,15:30,alighting,3.225806451612903
Aft S'pore Science Ctr,16:00,alighting,3.225806451612903
Aft S'pore Science Ctr,16:00,boarding,1.6129032258064515
Aft S'pore Science Ctr,16:30,alighting,1.6129032258064515
Aft S'pore Science Ctr,16:30,boarding,1.6129032258064515
Aft S'pore Science Ctr,17:00,alighting,4.838709677419355
Aft S'pore Science Ctr,17:00,boarding,3.225806451612903
Aft S'pore Science Ctr,17:30,alighting,1.6129032258064515
Aft S'pore Science Ctr,17:30,boarding,1.6129032258064515
Aft S'pore Science Ctr,18:00,alighting,3.225806451612903
Aft S'pore Science Ctr,18:00,boarding,6.451612903225806
Aft S'pore Science Ctr,18:00,interchanging,1.6129032258064515
Aft S'pore Science Ctr,18:30,alighting,8.064516129032258
Aft S'pore Science Ctr,19:00,alighting,8.064516129032258
Aft S'pore Science Ctr,19:30,alighting,3.225806451612903
Aft S'pore Science Ctr,19:30,boarding,3.225806451612903
Aft S'pore Science Ctr,20:00,alighting,6.451612903225806
Aft S'pore Science Ctr,20:30,alighting,3.225806451612903
Aft S'pore Science Ctr,21:00,alighting,6.451612903225806
Aft S'pore Science Ctr,21:30,alighting,11.290322580645162
Aft S'pore Science Ctr,21:30,boarding,1.6129032258064515
Aft S'pore Science Ctr,22:30,alighting,3.225806451612903
Aft S'pore Science Ctr,22:30,boarding,1.6129032258064515
Aft S'pore Science Ctr,23:00,alighting,3.225806451612903
Aft S'pore Science Ctr,23:00,boarding,1.6129032258064515
Aft S'pore Science Ctr,23:30,alighting,1.6129032258064515
Aft S'pore Science Ctr,23:30,boarding,1.6129032258064515
Aft Teban Gdns Rd,00:00,alighting,4.838709677419355
Aft Teban Gdns Rd,00:00,boarding,1.6129032258064515
Aft Teban Gdns Rd,00:30,alighting,4.838709677419355
Aft Teban Gdns Rd,05:00,boarding,1.6129032258064515
Aft Teban Gdns Rd,05:30,boarding,27.419354838709676
Aft Teban Gdns Rd,06:00,boarding,33.87096774193548
Aft Teban Gdns Rd,06:30,boarding,69.35483870967742
Aft Teban Gdns Rd,07:00,alighting,3.225806451612903
Aft Teban Gdns Rd,07:00,boarding,69.35483870967742
Aft Teban Gdns Rd,07:30,alighting,3.225806451612903
Aft Teban Gdns Rd,07:30,boarding,29.032258064516128
Aft Teban Gdns Rd,08:00,boarding,38.70967741935484
Aft Teban Gdns Rd,08:30,alighting,6.451612903225806
Aft Teban Gdns Rd,08:30,boarding,33.87096774193548
Aft Teban Gdns Rd,09:00,boarding,38.70967741935484
Aft Teban Gdns Rd,09:30,alighting,1.6129032258064515
Aft Teban Gdns Rd,09:30,boarding,22.580645161290324
Aft Teban Gdns Rd,09:30,interchanging,1.6129032258064515
Aft Teban Gdns Rd,10:00,boarding,16.129032258064516
Aft Teban Gdns Rd,10:00,interchanging,1.6129032258064515
Aft Teban Gdns Rd,10:30,alighting,1.6129032258064515
Aft Teban Gdns Rd,10:30,boarding,9.67741935483871
Aft Teban Gdns Rd,11:00,alighting,3.225806451612903
Aft Teban Gdns Rd,11:00,boarding,20.967741935483872
Aft Teban Gdns Rd,11:30,alighting,8.064516129032258
Aft Teban Gdns Rd,11:30,boarding,14.516129032258064
Aft Teban Gdns Rd,12:00,alighting,4.838709677419355
Aft Teban Gdns Rd,12:00,boarding,8.064516129032258
Aft Teban Gdns Rd,12:30,alighting,1.6129032258064515
Aft Teban Gdns Rd,12:30,boarding,12.903225806451612
Aft Teban Gdns Rd,13:00,alighting,4.838709677419355
Aft Teban Gdns Rd,13:00,boarding,17.741935483870968
Aft Teban Gdns Rd,13:30,alighting,4.838709677419355
Aft Teban Gdns Rd,13:30,boarding,8.064516129032258
Aft Teban Gdns Rd,14:00,alighting,3.225806451612903
Aft Teban Gdns Rd,14:00,boarding,17.741935483870968
Aft Teban Gdns Rd,14:30,alighting,6.451612903225806
Aft Teban Gdns Rd,14:30,boarding,14.516129032258064
Aft Teban Gdns Rd,14:30,interchanging,1.6129032258064515
