"shapeid","x","y"
"7","103.744447824","1.34542187957"
"7","103.744442786","1.34557935618"
"7","103.744393064","1.34573189332"
"7","103.744199976","1.3461134914"
"7","103.743973649","1.34656125231"
"7","103.744371146","1.3465142185"
"7","103.745408847","1.34630786392"
"7","103.746427154","1.34602075084"
"7","103.746638994","1.34594262054"
"7","103.746641785","1.34593623431"
"7","103.74665593","1.34588703745"
"7","103.746659571","1.34583597722"
"7","103.746651351","1.34578545014"
"7","103.746634055","1.34573740069"
"7","103.746605186","1.34569559094"
"7","103.746497265","1.34555087988"
"7","103.746302387","1.34524642799"
"7","103.746122198","1.34500188165"
"7","103.746100408","1.34501743592"
"7","103.745976277","1.34484997952"
"8","103.743237223","1.34664181136"
"8","103.743234364","1.34664075377"
"8","103.743104577","1.34659837229"
"8","103.743062192","1.34658453214"
"8","103.742886534","1.34654065492"
"8","103.742708495","1.34650803693"
"8","103.742572833","1.34649167282"
"8","103.742528577","1.34648633542"
"8","103.742347661","1.34647849594"
"8","103.742166808","1.34648244121"
"8","103.741986367","1.34649851399"
"8","103.741807508","1.34652698564"
"8","103.741630994","1.34656734974"
"8","103.741457802","1.34661999521"
"8","103.741390007","1.34664576925"
"8","103.742263234","1.34668006896"
"8","103.743237223","1.34664181136"
"9","103.753404451","1.34076812852"
"9","103.752634077","1.34021539198"
"9","103.752311096","1.34003852391"
"9","103.752263465","1.34001271178"
"9","103.752277742","1.34003846853"
"9","103.752996794","1.34133981445"
"9","103.753164519","1.3411271147"
"9","103.753404451","1.34076812852"
"10","103.750575705","1.34275465272"
"10","103.750411098","1.34259497811"
"10","103.750353431","1.34253505301"
"10","103.75029703","1.34247391611"
"10","103.750241906","1.34241163975"
"10","103.750188066","1.34234821399"
"10","103.750135539","1.34228368676"
"10","103.750087135","1.34222163672"
"10","103.750084359","1.34221807343"
"10","103.750046486","1.34216466043"
"10","103.750012469","1.3421086882"
"10","103.74970925","1.3415675157"
"10","103.749681855","1.34151861582"
"10","103.749462737","1.34163824652"
"10","103.749797556","1.34223585242"
"10","103.749838491","1.34230322891"
"10","103.749884819","1.34236857077"
"10","103.749941121","1.34244074091"
"10","103.74999691","1.34250930263"
"10","103.75005411","1.34257668057"
"10","103.750112676","1.34264285396"
"10","103.75017259","1.34270778027"
"10","103.750235038","1.3427727157"
"10","103.750348521","1.34288276977"
"10","103.750348525","1.34288276706"
"10","103.750575705","1.34275465272"
"11","103.750836604","1.34335705454"
"11","103.750761993","1.34343470066"
"11","103.750734559","1.34346357605"
"11","103.750706146","1.34349625878"
"11","103.750686162","1.34353443129"
"11","103.75067375","1.34357606867"
"11","103.750670343","1.34361942283"
"11","103.750670369","1.343723608"
"11","103.750970509","1.34348706139"
"11","103.750836604","1.34335705454"
"12","103.749956181","1.3442591688"
"12","103.749624434","1.34425935079"
"12","103.74958505","1.34426295784"
"12","103.749558299","1.34427108715"
"12","103.749528485","1.34428569159"
"12","103.749499766","1.34430694314"
"12","103.749361653","1.34443482441"
"12","103.74934041","1.34445681779"
"12","103.749329698","1.3444865348"
"12","103.749330964","1.34451825992"
"12","103.74934304","1.34454853843"
"12","103.749380454","1.34461119403"
"12","103.749391766","1.34463619544"
"12","103.749956181","1.3442591688"
"13","103.749811227","1.3434619347"
"13","103.749349601","1.34372318939"
"13","103.749571774","1.34412458072"
"13","103.74962079","1.34412008773"
"13","103.749935286","1.34412001716"
"13","103.749935175","1.34368770427"
"13","103.749811227","1.3434619347"
"14","103.748933133","1.34407238587"
"14","103.749145176","1.34431580267"
"14","103.749172527","1.34433825896"
"14","103.749206376","1.34434819005"
"14","103.74924106","1.34434234906"
"14","103.749271873","1.34432443469"
"14","103.749410048","1.3442005055"
"14","103.749456388","1.34416621363"
"14","103.74950811","1.34414089324"
"14","103.749563516","1.34412534915"
"14","103.749571774","1.34412458072"
"14","103.749349601","1.34372318939"
"14","103.749235355","1.34378781125"
"14","103.748933133","1.34407238587"
"15","103.752996794","1.34133981445"
"15","103.752277742","1.34003846853"
"15","103.752263465","1.34001271178"
"15","103.752209004","1.33991451236"
"15","103.752165376","1.33993924525"
"15","103.75213996","1.33995364278"
"15","103.752056739","1.34000078086"
"15","103.751986819","1.34004094493"
"15","103.751979958","1.34004497092"
