FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,Total_Leng,Shape_Leng
62,1,PARC OASIS - Location 62,1,2,9304,461.55620223896625,461.5569145691809
64,1,- Location 64,1,2,9306,811.9721893648152,811.9732751726153
62,1,PARC OASIS - Location 62,2,2,9307,646.9190148481312,646.9200446707263
57,1,- Location 57,2,1,9308,5473.749579187503,5473.756622149911
57,1,- Location 57,2,1,9309,5632.404578968079,5632.41190349769
57,1,- Location 57,1,1,9310,5698.0868203354485,5698.0942045295615
57,1,- Location 57,2,2,9311,755.0827202790279,755.0837938772664
57,1,- Location 57,2,1,9312,365.45714553224474,365.4576871721437
57,1,IVORY HEIGHTS - Location 57,2,2,9313,1487.7395743942425,1487.741657798859
57,1,WESTMERE - Location 57,1,2,9314,859.4922910795859,859.4934829578106
57,1,- Location 57,1,1,9315,909.5724578053381,909.5738135822581
64,1,- Location 64,1,2,9316,906.1541650455279,906.1553693157233
57,1,- Location 57,2,1,9317,5428.217752860789,5428.224813453043
64,1,- Location 64,1,2,9318,608.3278902647357,608.3286946780484
64,1,- Location 64,1,2,9319,709.1290694026048,709.1300058015885
64,1,- Location 64,2,2,9320,723.8754286538834,723.8764322410625
57,1,- Location 57,2,2,9321,955.684774049428,955.6860726700206
57,1,- Location 57,2,2,9322,917.1319359845819,917.1331597033266
57,1,- Location 57,2,1,9323,970.4262874090807,970.4275690446982
57,1,- Location 57,2,1,9324,5600.4408773954965,5600.448113786825
57,1,- Location 57,2,1,9325,5505.744771494,5505.751857211353
57,1,- Location 57,2,1,9326,5558.909514475463,5558.916710133786
57,1,- Location 57,1,1,9327,5744.141651130244,5744.149144110728
64,1,- Location 64,1,2,9328,531.3484356022325,531.3491401780927
64,1,- Location 64,2,2,9329,684.9758236075087,684.9767343052606
57,1,- Location 57,1,2,9330,862.8368631221247,862.8380354317999
57,1,- Location 57,2,1,9331,228.85644327860643,228.85681500435783
57,1,- Location 57,1,1,9332,5921.357321100611,5921.364995501304
64,1,- Location 64,1,2,9333,486.1579610519187,486.15860430405866
64,1,- Location 64,1,2,9334,649.0161979775726,649.0170648296983
57,1,- Location 57,1,1,9336,243.96806326069986,243.9684164895102
57,1,- Location 57,2,1,9337,5786.856665860353,5786.86416453267
57,1,- Location 57,1,1,9338,5898.683740774095,5898.691379889049
57,1,- Location 57,1,1,9339,6002.837917651233,6002.845721407123
57,1,- Location 57,1,1,9340,5913.463903581365,5913.471581743816
57,1,- Location 57,2,1,9341,6138.228479368248,6138.23646086585
57,1,- Location 57,2,1,9342,6355.35534204926,6355.363643818266
57,1,- Location 57,1,1,9343,6404.927856708105,6404.936272388408
64,1,- Location 64,1,2,9344,146.62907284382854,146.629224079653
57,1,- Location 57,2,2,9345,817.704010512172,817.7050901580963
57,1,- Location 57,2,2,9346,812.911474780142,812.9125528393729
57,1,- Location 57,1,1,9347,6005.566331164381,6005.573867769064
57,1,- Location 57,1,1,9348,6039.829282217093,6039.836812440668
57,1,- Location 57,1,1,9349,6148.8721899058155,6148.87993006506
57,1,- Location 57,2,1,9350,6101.432262688041,6101.439899619587
64,1,- Location 64,2,1,9351,150.0576897218882,150.05788655866746
57,1,- Location 57,2,2,9352,1292.0763174968788,1292.0783309403635
57,1,- Location 57,2,1,9353,1568.1861188871085,1568.1882090237225
57,1,- Location 57,1,1,9354,1525.5800694661123,1525.5820746495615
57,1,- Location 57,2,1,9355,1486.0387338873684,1486.0406826308156
57,1,- Location 57,1,1,9356,5990.438978936375,5990.446773918097
57,1,- Location 57,2,1,9357,6025.113398199422,6025.120996370215
57,1,- Location 57,2,1,9358,5949.104129645956,5949.111590807638
57,1,- Location 57,2,1,9359,6101.837432139174,6101.845111700525
57,1,- Location 57,1,1,9360,6235.354989662619,6235.3628194690355
57,1,- Location 57,2,1,9361,6239.821924958697,6239.829740839339
57,1,- Location 57,1,1,9362,6726.290500988135,6726.298936573971
57,1,- Location 57,1,1,9363,7203.219979263829,7203.228833987556
57,1,- Location 57,1,2,9364,1074.8013122253433,1074.802686059834
57,1,- Location 57,2,1,9365,1579.2034700794668,1579.2055763134772
57,1,- Location 57,2,1,9366,1659.2863367135303,1659.2885789074546
57,1,- Location 57,1,1,9367,5885.004921874,5885.012266789464
57,1,- Location 57,1,1,9368,5880.261533689653,5880.26887544315
57,1,- Location 57,1,1,9369,6250.856377538459,6250.864204521994
57,1,- Location 57,2,1,9370,6305.123709267181,6305.1316045222375
57,1,THE WARREN - Location 57,2,1,9372,6442.877613063206,6442.885731222277
57,1,THE WARREN - Location 57,2,1,9373,6331.199129373725,6331.207008118902
57,1,- Location 57,2,1,9374,7215.677987044218,7215.686835773344
64,1,- Location 64,1,1,9375,274.4985604274625,274.4989091177209
57,1,- Location 57,2,1,9376,737.1513696012156,737.1524077497304
